code_site;adresse;operateur;mise_en_serv;mise_en_serv_4g;mise_en_serv_5g_3500;mise_en_serv_5g_700;type;ardt;geo_shape;geo_point_2d
00000420U7;rue de l'ingénieur Robert Keller;ORANGE;2013-04-05T04:00:00+02:00;2013-07-12T04:00:00+02:00;2020-11-25T02:00:00+01:00;;Macro;75015;"{""coordinates"": [2.282585833874391, 48.847770833808895], ""type"": ""Point""}";48.847770833808895,2.282585833874391
00000024U7;1, bd victor;ORANGE;2004-01-16T02:00:00+01:00;2017-04-11T04:00:00+02:00;2020-11-24T02:00:00+01:00;;Macro;75015;"{""coordinates"": [2.276711999459007, 48.836664000090956], ""type"": ""Point""}";48.836664000090956,2.276711999459007
00029747U5;184 rue du Fbg St-Antoine;ORANGE;2017-01-20T02:00:00+01:00;2017-01-20T02:00:00+01:00;;;Macro;75012;"{""coordinates"": [2.383119000303993, 48.85021800014986], ""type"": ""Point""}";48.85021800014986,2.383119000303993
00000130U7;5/7, rue de tournon;ORANGE;2011-10-17T04:00:00+02:00;2019-03-07T02:00:00+01:00;;;Macro;75006;"{""coordinates"": [2.337201000421019, 48.851091000277144], ""type"": ""Point""}";48.851091000277144,2.337201000421019
00000084U8;278, rue du fg st antoine;ORANGE;2016-11-30T02:00:00+01:00;2016-11-30T02:00:00+01:00;;;Macro;75012;"{""coordinates"": [2.393648999951034, 48.84848099968065], ""type"": ""Point""}";48.84848099968065,2.393648999951034
00000089U8;6/8, pl maurice de fontenay;ORANGE;2013-08-20T04:00:00+02:00;2013-05-27T04:00:00+02:00;;;Macro;75012;"{""coordinates"": [2.3883749997170662, 48.844953000020425], ""type"": ""Point""}";48.844953000020425,2.3883749997170662
00000019U7;8, villa du parc montsouris;ORANGE;2014-12-10T02:00:00+01:00;2015-12-18T02:00:00+01:00;2020-12-04T02:00:00+01:00;;Macro;75014;"{""coordinates"": [2.334022515671442, 48.82204833069344], ""type"": ""Point""}";48.82204833069344,2.334022515671442
00080161U8;1 Rue Henri Poincaré;ORANGE;2016-04-19T04:00:00+02:00;2016-04-19T04:00:00+02:00;;;Macro;75020;"{""coordinates"": [2.402248499660371, 48.86963999966077], ""type"": ""Point""}";48.86963999966077,2.402248499660371
00000072U7;32 rue Georges V;ORANGE;2012-07-31T04:00:00+02:00;2013-07-18T04:00:00+02:00;;;Macro;75008;"{""coordinates"": [2.301391043027504, 48.86889201500583], ""type"": ""Point""}";48.86889201500583,2.301391043027504
00010690U5;163 rue de charenton;ORANGE;2014-05-27T04:00:00+02:00;2014-05-12T04:00:00+02:00;;;Macro;75012;"{""coordinates"": [2.384114822097028, 48.84444451329879], ""type"": ""Point""}";48.84444451329879,2.384114822097028
00080165U8;36, Avenue gambetta;ORANGE;2013-07-07T04:00:00+02:00;2014-05-12T04:00:00+02:00;2021-06-08T04:00:00+02:00;;Macro;75020;"{""coordinates"": [2.397037500289302, 48.8648609996813], ""type"": ""Point""}";48.8648609996813,2.397037500289302
00000023U7;81, bd massena;ORANGE;2011-11-16T02:00:00+01:00;2013-10-14T04:00:00+02:00;2021-03-11T02:00:00+01:00;;Macro;75013;"{""coordinates"": [2.368246500339695, 48.820842000272954], ""type"": ""Point""}";48.820842000272954,2.368246500339695
00020939U3;76, avenue Raymond Poincaré;ORANGE;2014-02-11T02:00:00+01:00;2014-01-13T02:00:00+01:00;;;Macro;75016;"{""coordinates"": [2.285732366550237, 48.868800825643376], ""type"": ""Point""}";48.868800825643376,2.285732366550237
00000032U8;16/28, rue des écluses st martin;ORANGE;2011-02-23T02:00:00+01:00;2013-08-09T04:00:00+02:00;;;Macro;75010;"{""coordinates"": [2.366226000285593, 48.87727200011573], ""type"": ""Point""}";48.87727200011573,2.366226000285593
751169;200  RUE DU FAUBOURG SAINT DENIS;SFR;;;2021-03-19T02:00:00+01:00;;Macro/NB-IOT;75010;"{""coordinates"": [2.358481499554482, 48.88169999987654], ""type"": ""Point""}";48.88169999987654,2.358481499554482
753535;2  PLACE LOUIS ARMAND;SFR;;;2021-03-19T02:00:00+01:00;;Macro/NB-IOT;75012;"{""coordinates"": [2.372719499508346, 48.84456599978662], ""type"": ""Point""}";48.84456599978662,2.372719499508346
750079;10  RUE BARBETTE;SFR;;;2021-03-19T02:00:00+01:00;;Macro/NB-IOT;75003;"{""coordinates"": [2.360817000579727, 48.85886700031633], ""type"": ""Point""}";48.85886700031633,2.360817000579727
7510000030;174 rue de Crimee;SFR;;;;;Macro/NB-IOT;75019;"{""coordinates"": [2.37750749992546, 48.89013299967524], ""type"": ""Point""}";48.89013299967524,2.37750749992546
7510041090;25 Avenue Montaigne;SFR;;;;;#N/A;75008;"{""coordinates"": [2.304355499818915, 48.86622899985088], ""type"": ""Point""}";48.86622899985088,2.304355499818915
7510045513;32 Rue Lucien Boussoutrot;SFR;;;2021-06-30T04:00:00+02:00;;#N/A;75015;"{""coordinates"": [2.273733000583458, 48.83669999995562], ""type"": ""Point""}";48.83669999995562,2.273733000583458
751104;112  RUE RAMBUTEAU;SFR;;;;;Macro/NB-IOT;75001;"{""coordinates"": [2.3476860002200493, 48.862602000280006], ""type"": ""Point""}";48.862602000280006,2.3476860002200493
751151;14  RUE DUPIN;SFR;;;2021-04-07T04:00:00+02:00;;Macro/NB-IOT;75006;"{""coordinates"": [2.325460500533109, 48.849507000427685], ""type"": ""Point""}";48.849507000427685,2.325460500533109
751229;40  RUE DE LA TOMBE ISSOIRE;SFR;;;2021-12-07T02:00:00+01:00;;Macro/NB-IOT;75014;"{""coordinates"": [2.334505499825705, 48.83096699976654], ""type"": ""Point""}";48.83096699976654,2.334505499825705
